,FFNN,CNN
params,109386.0,27562.0
train_time_s,10.867670675999761,160.8073917849997
time/epoch_s,0.7245113783999841,10.720492785666647
infer_ms/img,0.0028904643331770785,0.3226414273334134
train_acc,0.9275,0.9049
test_acc(top1),0.8556666666666667,0.8476666666666667
top5_acc,0.9956666666666667,0.996
macro_precision,0.8567528865765028,0.8582181529596152
macro_recall,0.855527620570046,0.8461403883069399
macro_F1,0.8551414089645071,0.849132941540636
overfit_gap(train-test),0.0718333333333333,0.05723333333333336
test-acc peak-to-final drop,0.0,0.0086666666666666
epochs_to_loss<=0.4,5.0,6.0
seconds_to_loss<=0.4,2.0376957020007467,60.641501310999956
fwd_FLOPs/img,218560.0,443360.0
train_FLOPs/img(~3x fwd),655680.0,1330080.0
connections(MACs)/img,109184.0,214304.0
connections_per_param,0.9981533285795258,7.7753428633626
