,FFNN,CNN,CNN - FFNN,FFNN retained %,CNN retained %
original,0.8556666666666667,0.8476666666666667,-0.008000000000000007,100.0,100.0
rotate 15°,0.5363333333333333,0.654,0.1176666666666667,62.68017140631087,77.15296893432954
rotate 30°,0.20233333333333334,0.25466666666666665,0.052333333333333315,23.646279703934553,30.043255996854107
rotate 45°,0.11133333333333334,0.11466666666666667,0.003333333333333327,13.01129723412544,13.527329925285096
rotate 60°,0.06933333333333333,0.066,-0.003333333333333327,8.10284378652123,7.786079433739678
rotate 90°,0.04733333333333333,0.02666666666666667,-0.020666666666666663,5.531749123490456,3.14589068029886
rotate 180°,0.21133333333333335,0.26366666666666666,0.052333333333333315,24.698091156992596,31.104994101454974
shift 1px,0.6703333333333333,0.746,0.07566666666666666,78.34047526295286,88.00629178136059
shift 2px,0.37666666666666665,0.5256666666666666,0.14899999999999997,44.0202571094663,62.01337003539126
shift 3px,0.22433333333333333,0.23066666666666666,0.00633333333333333,26.21737436696533,27.211954384585134
shift 4px,0.162,0.15733333333333333,-0.00466666666666668,18.932606155044798,18.56075501376327
scale x0.7,0.342,0.5593333333333333,0.21733333333333332,39.96883521620569,65.98505701926858
scale x0.85,0.6133333333333333,0.7676666666666667,0.15433333333333343,71.67900272691857,90.56232795910341
scale x1.15,0.717,0.7666666666666667,0.04966666666666675,83.79431242695755,90.44435705859222
scale x1.3,0.597,0.6733333333333333,0.07633333333333336,69.77015971951694,79.4337396775462
