epoch,train_loss,train_acc,test_acc,time_s
1,0.9040431380271912,0.7876,0.7736666666666666,12.083494596998207
2,0.5459166169166565,0.8189,0.8013333333333333,24.605766232009046
3,0.4847443103790283,0.8391,0.819,33.46830943200621
4,0.4373130202293396,0.8455,0.8163333333333334,42.292441430006875
5,0.41123640537261963,0.8442,0.8083333333333333,50.88682189100655
6,0.38995203375816345,0.8628,0.8236666666666667,59.911206019009114
7,0.36560457944869995,0.8793,0.845,68.47238663901226
8,0.3590722680091858,0.8645,0.817,77.07922972401138
9,0.34259188175201416,0.8749,0.8326666666666667,85.7259212280187
10,0.3232637643814087,0.8867,0.8466666666666667,95.00109567801701
11,0.31239163875579834,0.892,0.848,105.33529251100845
12,0.30358240008354187,0.8938,0.8486666666666667,116.13631016699946
13,0.296063095331192,0.8877,0.835,126.72392789799778
14,0.2872776985168457,0.9026,0.8563333333333333,135.71473750199948
15,0.27650365233421326,0.9049,0.8476666666666667,145.18742229499912
