epoch,train_loss,train_acc,test_acc,time_s
1,0.7951857447624207,0.814,0.805,2.0042701459969976
2,0.507900059223175,0.8419,0.8263333333333334,3.7333703999975114
3,0.4505515694618225,0.8486,0.825,6.146583287001704
4,0.415841281414032,0.8636,0.8383333333333334,8.393323281001358
5,0.381040096282959,0.8413,0.803,10.645860882999841
6,0.3695608377456665,0.8786,0.8326666666666667,13.291157286003
7,0.34034135937690735,0.8863,0.8443333333333334,15.961166758002946
8,0.323055237531662,0.8935,0.8396666666666667,19.831039098004112
9,0.30642417073249817,0.9055,0.8513333333333334,21.147662040006253
10,0.29345008730888367,0.9018,0.848,23.60346312400361
11,0.2827848792076111,0.9039,0.8516666666666667,26.29858951200731
12,0.2608668804168701,0.9163,0.852,30.35006326900475
13,0.2529888153076172,0.912,0.8453333333333334,33.37312087000464
14,0.24370263516902924,0.9223,0.849,34.877958277007565
15,0.22776342928409576,0.9275,0.8556666666666667,37.75619687500148
