cls,precision,recall,f1
T-shirt,0.8564814814814815,0.6583629893238434,0.744466800804829
Trouser,0.9865771812080537,0.9671052631578947,0.9767441860465117
Pullover,0.8081632653061225,0.6827586206896552,0.7401869158878505
Dress,0.8768328445747801,0.8952095808383234,0.8859259259259259
Coat,0.7090909090909091,0.7647058823529411,0.7358490566037736
Sandal,0.9697986577181208,0.9506578947368421,0.9601328903654486
Shirt,0.5501285347043702,0.7039473684210527,0.6176046176046176
Sneaker,0.9034267912772586,0.9666666666666667,0.9339774557165861
Bag,0.9571428571428572,0.9436619718309859,0.9503546099290779
Ankle boot,0.9645390070921985,0.9283276450511946,0.9460869565217391
