cls,precision,recall,f1
T-shirt,0.8078291814946619,0.8078291814946619,0.8078291814946619
Trouser,0.9863481228668942,0.9506578947368421,0.9681742043551088
Pullover,0.7443365695792881,0.7931034482758621,0.7679465776293823
Dress,0.8441926345609065,0.8922155688622755,0.8675400291120815
Coat,0.7631578947368421,0.7581699346405228,0.7606557377049181
Sandal,0.946843853820598,0.9375,0.9421487603305785
Shirt,0.7095588235294118,0.6348684210526315,0.6701388888888888
Sneaker,0.8550295857988166,0.9633333333333334,0.9059561128526645
Bag,0.9407665505226481,0.9507042253521126,0.945709281961471
Ankle boot,0.9694656488549618,0.8668941979522184,0.9153153153153154
