,FFNN,CNN
params,803786.0,38970.0
train_time_s,2904.0691778839973,3050.901895390016
time/epoch_s,145.20345889419985,152.5450947695008
infer_ms/img,0.010175861499737949,0.46022508399983053
train_acc,0.52466,0.7153
test_acc(top1),0.4758,0.6304
top5_acc,0.9132,0.9614
macro_precision,0.47961413568659694,0.641291731749725
macro_recall,0.4758,0.6304000000000001
macro_F1,0.46290533978633003,0.6306498271759275
overfit_gap(train-test),0.048860000000000015,0.08490000000000009
test-acc peak-to-final drop,0.015199999999999991,0.0017000000000000348
epochs_to_loss<=1.8,2.0,1.0
seconds_to_loss<=1.8,274.7731589959949,541.8330946099959
fwd_FLOPs/img,1607232.0,873056.0
train_FLOPs/img(~3x fwd),4821696.0,2619168.0
connections(MACs)/img,803456.0,426592.0
connections_per_param,0.9995894429611862,10.946676930972544
