,FFNN,CNN,CNN - FFNN,FFNN retained %,CNN retained %
original,0.4758,0.6304,0.15459999999999996,100.0,100.0
rotate 15°,0.3633,0.4992,0.13589999999999997,76.35561160151323,79.18781725888324
rotate 30°,0.2744,0.3156,0.041200000000000014,57.6712904581757,50.06345177664975
rotate 45°,0.2243,0.225,0.0007000000000000062,47.1416561580496,35.691624365482234
rotate 60°,0.198,0.2145,0.016499999999999987,41.6141235813367,34.026015228426395
rotate 90°,0.2468,0.2682,0.021400000000000002,51.870533837746954,42.54441624365482
rotate 180°,0.2562,0.2991,0.042899999999999994,53.84615384615384,47.44606598984771
shift 1px,0.4002,0.5111,0.1109,84.1109709962169,81.07550761421321
shift 2px,0.3226,0.4779,0.1553,67.80159730979403,75.80901015228427
shift 3px,0.2605,0.3496,0.08910000000000001,54.749894913829344,55.45685279187818
shift 4px,0.2115,0.2404,0.02890000000000001,44.4514501891551,38.13451776649746
scale x0.7,0.1792,0.2842,0.10500000000000001,37.66288356452291,45.08248730964468
scale x0.85,0.2212,0.5144,0.29319999999999996,46.49012189995797,81.59898477157361
scale x1.15,0.4492,0.5584,0.10920000000000002,94.40941572089113,88.57868020304569
scale x1.3,0.4139,0.4898,0.07590000000000002,86.99033207229928,77.69670050761422
