epoch,train_loss,train_acc,test_acc,time_s
1,1.6615216732025146,0.50624,0.4979,541.8330946099959
2,1.331085443496704,0.55782,0.5469,886.1222005559976
3,1.2276878356933594,0.57848,0.564,1220.5464787129968
4,1.1652415990829468,0.60498,0.5879,1558.003563264996
5,1.1236679553985596,0.62908,0.6024,1922.8267715079928
6,1.0816367864608765,0.62726,0.6001,2137.5415856099935
7,1.054141640663147,0.64838,0.612,2208.3078318369953
8,1.027051568031311,0.65374,0.6137,2269.183822148996
9,0.9998582601547241,0.65826,0.614,2339.1067486460015
10,0.983860969543457,0.67492,0.6208,2407.463977272004
11,0.9610713720321655,0.68126,0.6264,2473.0732355510045
12,0.9411307573318481,0.68394,0.6235,2540.632670388004
13,0.9218629598617554,0.68158,0.6163,2602.5192633780025
14,0.9086543321609497,0.69692,0.6283,2664.1512957670056
15,0.888896644115448,0.6956,0.6249,2730.1045732720086
16,0.8759487867355347,0.71048,0.6261,2795.9456156590095
17,0.8605276346206665,0.6965,0.6185,2863.572163259014
18,0.8548846244812012,0.71704,0.6321,2927.1282428690174
19,0.8409684300422668,0.71678,0.6286,2989.4098669790183
20,0.8286013603210449,0.7153,0.6304,3050.901895390016
