epoch,train_loss,train_acc,test_acc,time_s
1,2.167452335357666,0.25666666666666665,0.2245,21.744851606003067
2,1.9618791341781616,0.279,0.25,43.14348805100599
3,1.8933199644088745,0.3471666666666667,0.3055,63.627271303012094
4,1.8354545831680298,0.3401666666666667,0.2995,93.86185750600998
5,1.8060917854309082,0.37916666666666665,0.337,123.21242633700604
6,1.7969297170639038,0.37583333333333335,0.33,146.27279104200716
7,1.7553048133850098,0.3968333333333333,0.353,168.30626045500685
8,1.7369362115859985,0.417,0.36,196.26231880301202
9,1.669967770576477,0.426,0.369,231.13902978901024
10,1.674823522567749,0.4088333333333333,0.358,266.2791467850111
11,1.6818976402282715,0.43733333333333335,0.3845,294.0983174260182
12,1.6345546245574951,0.4528333333333333,0.3905,322.99429817801865
