cls,precision,recall,f1
T-shirt,0.7569866342648846,0.623,0.6834887547997806
Trouser,0.8363636363636363,0.644,0.727683615819209
Pullover,0.5775401069518716,0.432,0.49427917620137296
Dress,0.4198473282442748,0.495,0.45433685176686545
Coat,0.5636192271442035,0.598,0.5803008248423096
Sandal,0.5269035532994923,0.519,0.5229219143576825
Shirt,0.6432078559738135,0.786,0.7074707470747075
Sneaker,0.6935960591133005,0.704,0.698759305210918
Bag,0.7793478260869565,0.717,0.746875
Ankle boot,0.615505090054816,0.786,0.6903820816864296
