cls,precision,recall,f1
T-shirt,0.6040816326530613,0.444,0.5118155619596542
Trouser,0.5666973321067157,0.616,0.590321034978438
Pullover,0.425531914893617,0.22,0.29004614370468024
Dress,0.36451169188445665,0.265,0.30689056166763173
Coat,0.5184563758389261,0.309,0.3872180451127819
Sandal,0.4372670807453416,0.352,0.3900277008310249
Shirt,0.4908026755852843,0.587,0.5346083788706739
Sneaker,0.44489247311827956,0.662,0.5321543408360128
Bag,0.5526992287917738,0.645,0.5952930318412551
Ankle boot,0.3912009512485137,0.658,0.49067859806114844
